raw_id	env_package	attribute_name	harmonized_name	value
12074640		growth facility		growth chamber
12074641		growth facility		growth chamber
12074642		growth facility		growth chamber
12074643		growth facility		growth chamber
12074644		growth facility		growth chamber
12074645		growth facility		growth chamber
12074646		growth facility		growth chamber
12074647		growth facility		growth chamber
12074648		growth facility		growth chamber
12074649		growth facility		growth chamber
12074650		growth facility		growth chamber
12074651		growth facility		growth chamber
12074652		growth facility		growth chamber
12074653		growth facility		growth chamber
12074654		growth facility		growth chamber
12074655		growth facility		growth chamber
12074656		growth facility		growth chamber
12074657		growth facility		growth chamber
12074658		growth facility		growth chamber
12074659		growth facility		growth chamber
12074660		growth facility		growth chamber
12074661		growth facility		growth chamber
12074662		growth facility		growth chamber
12074663		growth facility		growth chamber
12074664		growth facility		growth chamber
12678587		growth facility		glasshouse
12678588		growth facility		glasshouse
12922455		growth facility		glasshouse
13756282		growth facility		glasshouse
13756283		growth facility		glasshouse
13756284		growth facility		glasshouse
13756285		growth facility		glasshouse
13756286		growth facility		glasshouse
13756287		growth facility		glasshouse
13756288		growth facility		glasshouse
13756289		growth facility		glasshouse
13756290		growth facility		glasshouse
13756291		growth facility		glasshouse
13756292		growth facility		glasshouse
13756293		growth facility		glasshouse
13756294		growth facility		glasshouse
13756295		growth facility		glasshouse
13756296		growth facility		glasshouse
13756297		growth facility		glasshouse
13756298		growth facility		glasshouse
13756299		growth facility		glasshouse
13793037		growth facility		glasshouse
13793038		growth facility		glasshouse
13793039		growth facility		glasshouse
13793040		growth facility		glasshouse
13793041		growth facility		glasshouse
13793042		growth facility		glasshouse
13793043		growth facility		glasshouse
13793044		growth facility		glasshouse
13793045		growth facility		glasshouse
13793046		growth facility		glasshouse
13793047		growth facility		glasshouse
13793048		growth facility		glasshouse
13793049		growth facility		glasshouse
13793050		growth facility		glasshouse
13793051		growth facility		glasshouse
13793052		growth facility		glasshouse
13793053		growth facility		glasshouse
13793054		growth facility		glasshouse
13793055		growth facility		glasshouse
13793056		growth facility		glasshouse
13793057		growth facility		glasshouse
13793058		growth facility		glasshouse
13793059		growth facility		glasshouse
13793060		growth facility		glasshouse
13793061		growth facility		glasshouse
13793062		growth facility		glasshouse
13793063		growth facility		glasshouse
13793064		growth facility		glasshouse
13793065		growth facility		glasshouse
13793066		growth facility		glasshouse
13793067		growth facility		glasshouse
13793068		growth facility		glasshouse
13793069		growth facility		glasshouse
13793070		growth facility		glasshouse
13793071		growth facility		glasshouse
13793072		growth facility		glasshouse
13793073		growth facility		glasshouse
13793074		growth facility		glasshouse
13793075		growth facility		glasshouse
13793076		growth facility		glasshouse
13793077		growth facility		glasshouse
13793078		growth facility		glasshouse
13793079		growth facility		glasshouse
13793080		growth facility		glasshouse
13793081		growth facility		glasshouse
13793082		growth facility		glasshouse
13793083		growth facility		glasshouse
13793084		growth facility		glasshouse
13793085		growth facility		glasshouse
13793086		growth facility		glasshouse
13793087		growth facility		glasshouse
13793088		growth facility		glasshouse
13793089		growth facility		glasshouse
13793090		growth facility		glasshouse
13793091		growth facility		glasshouse
13793092		growth facility		glasshouse
13793093		growth facility		glasshouse
13793094		growth facility		glasshouse
13793095		growth facility		glasshouse
13793096		growth facility		glasshouse
13793097		growth facility		glasshouse
13793098		growth facility		glasshouse
13793099		growth facility		glasshouse
13793100		growth facility		glasshouse
13793101		growth facility		glasshouse
13793102		growth facility		glasshouse
13793103		growth facility		glasshouse
13793104		growth facility		glasshouse
13793105		growth facility		glasshouse
13793106		growth facility		glasshouse
13793107		growth facility		glasshouse
13793108		growth facility		glasshouse
13793109		growth facility		glasshouse
13793110		growth facility		glasshouse
13793111		growth facility		glasshouse
13793112		growth facility		glasshouse
13793113		growth facility		glasshouse
13793114		growth facility		glasshouse
13793115		growth facility		glasshouse
13966541		growth facility		glasshouse
14192165		growth facility		green house
14192166		growth facility		green house
14192167		growth facility		green house
14192168		growth facility		green house
14192169		growth facility		green house
14192170		growth facility		green house
14192171		growth facility		green house
14192172		growth facility		green house
14192173		growth facility		green house
14192174		growth facility		green house
14192175		growth facility		green house
14192176		growth facility		green house
14192177		growth facility		green house
14192178		growth facility		green house
14192179		growth facility		green house
14192180		growth facility		green house
14192181		growth facility		green house
14192182		growth facility		green house
14192183		growth facility		green house
14192184		growth facility		green house
14192185		growth facility		green house
14192186		growth facility		green house
14192187		growth facility		green house
14192188		growth facility		green house
14192189		growth facility		green house
14192190		growth facility		green house
14192191		growth facility		green house
14192192		growth facility		green house
14192193		growth facility		green house
14192194		growth facility		green house
14192195		growth facility		green house
14192196		growth facility		green house
14192197		growth facility		green house
14192198		growth facility		green house
14192199		growth facility		green house
14192200		growth facility		green house
14192201		growth facility		green house
14192202		growth facility		green house
14192203		growth facility		green house
14192204		growth facility		green house
14721161		growth facility		field
14721162		growth facility		field
14721163		growth facility		field
15065475		growth facility		glasshouse
15065476		growth facility		glasshouse
15065477		growth facility		glasshouse
15065478		growth facility		glasshouse
15065479		growth facility		glasshouse
15065480		growth facility		glasshouse
15065481		growth facility		glasshouse
15065482		growth facility		glasshouse
15569781		growth facility		glasshouse
15569782		growth facility		glasshouse
15569783		growth facility		glasshouse
15569784		growth facility		glasshouse
15569785		growth facility		glasshouse
15569786		growth facility		glasshouse
15569787		growth facility		glasshouse
15569788		growth facility		glasshouse
15569789		growth facility		glasshouse
15569790		growth facility		glasshouse
15569791		growth facility		glasshouse
15570592		growth facility		glasshouse
15570593		growth facility		glasshouse
15570594		growth facility		glasshouse
15570595		growth facility		glasshouse
15570596		growth facility		glasshouse
15570597		growth facility		glasshouse
15570598		growth facility		glasshouse
15570599		growth facility		glasshouse
15570600		growth facility		glasshouse
15570601		growth facility		glasshouse
15612248		growth facility		experimental garden
15612249		growth facility		experimental garden
15612250		growth facility		experimental garden
15612251		growth facility		experimental garden
15612252		growth facility		experimental garden
15612253		growth facility		experimental garden
15612254		growth facility		experimental garden
15612255		growth facility		experimental garden
15612256		growth facility		experimental garden
15612257		growth facility		experimental garden
15612258		growth facility		experimental garden
15612259		growth facility		experimental garden
15612260		growth facility		experimental garden
15612261		growth facility		experimental garden
15612262		growth facility		experimental garden
15612263		growth facility		experimental garden
15612264		growth facility		experimental garden
15612265		growth facility		experimental garden
15612266		growth facility		experimental garden
15612267		growth facility		experimental garden
15612268		growth facility		experimental garden
15612269		growth facility		experimental garden
15612270		growth facility		experimental garden
15612271		growth facility		experimental garden
15612272		growth facility		experimental garden
15612273		growth facility		experimental garden
15612274		growth facility		experimental garden
15612275		growth facility		experimental garden
15612276		growth facility		experimental garden
15612277		growth facility		experimental garden
15612278		growth facility		experimental garden
15612279		growth facility		experimental garden
15612280		growth facility		experimental garden
15612281		growth facility		experimental garden
15612282		growth facility		experimental garden
15612283		growth facility		experimental garden
15612284		growth facility		experimental garden
15612285		growth facility		experimental garden
15612286		growth facility		experimental garden
15612287		growth facility		experimental garden
15612288		growth facility		experimental garden
15612289		growth facility		experimental garden
15612290		growth facility		experimental garden
15612291		growth facility		experimental garden
15612292		growth facility		experimental garden
15612293		growth facility		experimental garden
15612294		growth facility		experimental garden
15612295		growth facility		experimental garden
15612296		growth facility		experimental garden
15612297		growth facility		experimental garden
15612298		growth facility		experimental garden
15612299		growth facility		experimental garden
15612300		growth facility		experimental garden
15612301		growth facility		experimental garden
15612302		growth facility		experimental garden
15612303		growth facility		experimental garden
15612304		growth facility		experimental garden
15612305		growth facility		experimental garden
15612306		growth facility		experimental garden
