env_package	microbial_biomass	count
		22336634
host-associated		77039
human-gut		60830
water		21327
miscellaneous natural or artificial environment		16433
soil		16174
human-skin		14771
built environment		14600
human-oral		11917
		9520
sediment		7590
human-associated		7148
plant-associated		3623
microbial mat_biofilm		3111
wastewater_sludge		1289
human-vaginal		1124
air		472
	not applicable	414
	not collected	300
	546.1167399999999	1
	564.5929357435247	1
	471.0121108980781	1
	45.16809797	1
	470.25305728032924	1
	4540 mg C/kg soil	1
	46.05407005	1
	46.31948048	1
	46.5839648	1
	546.4321168178438	1
	469.6699516	1
	462.88449609732237	1
	462.9043270511919	1
	462.9076112	1
	463.07432207895215	1
	465.64256944770165	1
	544.1910688801055	1
	48.70866606	1
	550.8326409434612	1
	481.624436	1
	438.4702196123774	1
	564.5560749380104	1
	562.2133958403689	1
	561.4805110424494	1
	439.4374124854904	1
	495.52417421048926	1
	495.03921971948756	1
	494.794179383067	1
	494.5712712387978	1
	56.7610647	1
	493.06089199999997	1
	491.6547303302807	1
	490.5768208139847	1
	490.3155113817384	1
	56.58503262	1
	488.9217014	1
	44.45471247	1
	487.76 mg/kg	1
	441.22796495460386	1
	558.8133055	1
	558.0594452600916	1
	555.5693205070662	1
	555.424637655004	1
	554.4827359999999	1
	484.7221690108305	1
	552.1070539989133	1
	483.5664406432532	1
	444.288105650407	1
	482.0049333	1
	6.21*10^6	1
	6.215430202	1
	7.43*10^5	1
	5.435377996	1
	659.8519751984969	1
	658.4886931190463	1
	654.6035807291969	1
	653.2315950000001	1
	53.60239454	1
	4.766212718	1
	5.46*10^6	1
	650.5292152324604	1
	650 mg C/kg soil	1
	642.931505	1
	641.628862	1
	641.4588060000001	1
	639.655924770707	1
	639.2304261250212	1
	4.85*10^6	1
	664 mg C/kg soil	1
	4.860875183	1
	4.867821119	1
	4.88*10^6	1
	634.113736729631	1
	4.910993852	1
	4.913069761	1
	4.92*10^5	1
	4.922518459	1
	4.93*10^6	1
	633.4751658138739	1
	629.6229775834944	1
	4.95*10^5	1
	629.17906	1
	626.9668969898044	1
	663.4170196727327	1
	665.296339	1
	413.5092525	1
	4.47*10^6	1
	4.209094803	1
	7.348502175	1
	4.223591356	1
	7.243316126	1
	4.31*10^6	1
	699.01 mg/kg	1
	4.34*10^6	1
	698.4606353840517	1
	697.70189788263	1
	4.38*10^5	1
	693.601663583569	1
	5.55*10^5	1
	685.446556928899	1
	466.7707062243212	1
	681.659288733047	1
	4.669863337423314	1
	680.256109	1
	4.48*10^6	1
	5.54*10^6	1
	68.68199848	1
	522.3591110567471	1
	678.331346	1
	524.604869	1
	676 mg C/kg soil	1
	4.551207164	1
	525.7266573894761	1
	673.1270925248617	1
	527.6892949999999	1
	67.2512066132655	1
	667.4447201126754	1
	623.363568	1
	623.2722093375025	1
	623.2671388298569	1
	41.89076214	1
	405.4625419189985	1
	406.9410717603227	1
	408.993145919107	1
	6.65*10^6	1
	6.640820344	1
	534.8644574969153	1
	6.63*10^6	1
	409.009249	1
	5.27 *10^6	1
	535.2707917108769	1
	41.17055939	1
